t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00075,0.00007,0.00006,0.00750,0.00000,0.003,-0.011,0
0.1020,0.00267,0.00021,0.00014,0.01500,0.00000,-0.010,-0.016,0
0.1520,0.00554,0.00032,0.00021,0.02250,0.00000,-0.035,-0.006,0
0.2020,0.00928,0.00043,0.00026,0.03000,0.00000,-0.054,0.005,0
0.2520,0.01379,0.00053,0.00030,0.03750,0.00000,-0.069,0.014,0
0.3020,0.01900,0.00061,0.00033,0.04500,0.00000,-0.080,0.023,0
0.3520,0.02482,0.00068,0.00035,0.05250,0.00000,-0.087,0.031,0
0.4020,0.03118,0.00073,0.00035,0.06000,0.00000,-0.092,0.038,0
0.4520,0.03803,0.00077,0.00034,0.06750,0.00000,-0.094,0.045,0
0.5040,0.04558,0.00079,0.00033,0.07530,0.00000,-0.094,0.052,0
0.5540,0.05321,0.00080,0.00030,0.08280,0.00000,-0.092,0.057,0
0.6040,0.06113,0.00081,0.00027,0.09030,0.00000,-0.089,0.062,0
0.6540,0.06931,0.00080,0.00024,0.09780,0.00000,-0.086,0.067,0
0.7040,0.07769,0.00078,0.00019,0.10530,0.00000,-0.082,0.071,0
0.7540,0.08625,0.00074,0.00015,0.11280,0.00000,-0.077,0.074,0
0.8040,0.09494,0.00070,0.00009,0.12030,0.00000,-0.072,0.078,0
0.8540,0.10372,0.00065,0.00004,0.12780,0.00000,-0.067,0.081,0
0.9040,0.11258,0.00059,-0.00002,0.13530,0.00000,-0.062,0.084,0
0.9540,0.12149,0.00052,-0.00009,0.14280,0.00000,-0.056,0.086,0
1.0060,0.13077,0.00046,-0.00016,0.15060,0.00000,-0.051,0.088,0
1.0560,0.13970,0.00039,-0.00022,0.15810,0.00000,-0.047,0.090,0
1.1060,0.14863,0.00031,-0.00029,0.16560,0.00000,-0.042,0.092,0
1.1560,0.15753,0.00023,-0.00037,0.17310,0.00000,-0.038,0.093,0
1.2060,0.16639,0.00016,-0.00044,0.18060,0.00000,-0.035,0.094,0
1.2560,0.17520,0.00008,-0.00051,0.18810,0.00000,-0.031,0.095,0
1.3060,0.18396,0.00001,-0.00059,0.19560,0.00000,-0.028,0.096,0
1.3560,0.19266,-0.00008,-0.00066,0.20310,0.00000,-0.026,0.097,0
1.4060,0.20130,-0.00017,-0.00074,0.21060,0.00000,-0.023,0.097,0
1.4560,0.20987,-0.00025,-0.00081,0.21810,0.00000,-0.021,0.097,0
1.5060,0.21837,-0.00032,-0.00089,0.22560,0.00000,-0.019,0.098,0
1.5560,0.22680,-0.00041,-0.00097,0.23310,0.00000,-0.017,0.098,0
1.6060,0.23516,-0.00049,-0.00104,0.24060,0.00000,-0.015,0.098,0
1.6560,0.24345,-0.00057,-0.00112,0.24810,0.00000,-0.013,0.097,0
1.7060,0.25168,-0.00064,-0.00119,0.25560,0.00000,-0.012,0.097,0
1.7560,0.25984,-0.00073,-0.00127,0.26310,0.00000,-0.010,0.097,0
1.8060,0.26794,-0.00080,-0.00134,0.27060,0.00000,-0.009,0.096,0
1.8560,0.27598,-0.00086,-0.00141,0.27810,0.00000,-0.007,0.096,0
1.9060,0.28396,-0.00092,-0.00148,0.28560,0.00000,-0.006,0.095,0
1.9560,0.29188,-0.00097,-0.00156,0.29310,0.00000,-0.004,0.095,0
2.0080,0.30007,-0.00102,-0.00163,0.30090,0.00000,-0.003,0.094,0
2.0600,0.30821,-0.00108,-0.00170,0.30870,0.00000,-0.002,0.093,0
2.1120,0.31631,-0.00114,-0.00177,0.31650,0.00000,-0.001,0.092,0
2.1640,0.32437,-0.00119,-0.00184,0.32430,0.00000,0.001,0.092,0
2.2160,0.33238,-0.00124,-0.00191,0.33210,0.00000,0.003,0.091,0
2.2680,0.34037,-0.00129,-0.00197,0.33990,0.00000,0.005,0.090,0
2.3200,0.34832,-0.00133,-0.00204,0.34770,0.00000,0.007,0.089,0
2.3720,0.35624,-0.00136,-0.00210,0.35550,0.00000,0.010,0.089,0
2.4240,0.36413,-0.00139,-0.00216,0.36330,0.00000,0.012,0.088,0
2.4760,0.37200,-0.00140,-0.00222,0.37110,0.00000,0.013,0.087,0
2.5280,0.37985,-0.00141,-0.00227,0.37890,0.00000,0.015,0.086,0
2.5800,0.38769,-0.00141,-0.00233,0.38670,0.00000,0.017,0.085,0
2.6320,0.39551,-0.00143,-0.00238,0.39450,0.00000,0.019,0.084,0
2.6840,0.40332,-0.00143,-0.00243,0.40230,0.00000,0.021,0.083,0
2.7360,0.41112,-0.00142,-0.00247,0.41010,0.00000,0.023,0.082,0
2.7880,0.41891,-0.00141,-0.00252,0.41790,0.00000,0.025,0.081,0
2.8400,0.42669,-0.00139,-0.00256,0.42570,0.00000,0.027,0.080,0
2.8920,0.43447,-0.00137,-0.00259,0.43350,0.00000,0.029,0.079,0
2.9440,0.44224,-0.00135,-0.00263,0.44130,0.00000,0.031,0.078,0
2.9960,0.45001,-0.00130,-0.00266,0.44910,0.00000,0.033,0.077,0
3.0480,0.45777,-0.00126,-0.00269,0.45690,0.00000,0.034,0.076,0
3.1000,0.46553,-0.00122,-0.00272,0.46470,0.00000,0.035,0.075,0
3.1520,0.47330,-0.00117,-0.00274,0.47250,0.00000,0.036,0.074,0
3.2040,0.48107,-0.00113,-0.00276,0.48030,0.00000,0.038,0.074,0
3.2560,0.48883,-0.00108,-0.00278,0.48810,0.00000,0.039,0.073,0
3.3080,0.49660,-0.00101,-0.00279,0.49590,0.00000,0.041,0.072,0
3.3600,0.50436,-0.00094,-0.00280,0.50370,0.00000,0.041,0.072,0
3.4120,0.51213,-0.00086,-0.00281,0.51150,0.00000,0.042,0.071,0
3.4640,0.51989,-0.00079,-0.00282,0.51930,0.00000,0.042,0.070,0
3.5160,0.52767,-0.00071,-0.00282,0.52710,0.00000,0.042,0.069,0
3.5680,0.53544,-0.00065,-0.00282,0.53490,0.00000,0.043,0.069,0
3.6200,0.54322,-0.00057,-0.00281,0.54270,0.00000,0.043,0.068,0
3.6720,0.55100,-0.00050,-0.00281,0.55050,0.00000,0.044,0.068,0
3.7240,0.55878,-0.00044,-0.00280,0.55830,0.00000,0.044,0.068,0
3.7760,0.56656,-0.00036,-0.00279,0.56610,0.00000,0.045,0.067,0
3.8280,0.57434,-0.00028,-0.00277,0.57390,0.00000,0.045,0.067,0
3.8800,0.58212,-0.00020,-0.00276,0.58170,0.00000,0.044,0.067,0
3.9320,0.58991,-0.00013,-0.00274,0.58950,0.00000,0.044,0.067,0
3.9840,0.59769,-0.00005,-0.00272,0.59730,0.00000,0.044,0.066,0
4.0360,0.60548,0.00002,-0.00269,0.60510,0.00000,0.043,0.066,0
4.0880,0.61327,0.00009,-0.00267,0.61290,0.00000,0.043,0.066,0
4.1400,0.62106,0.00014,-0.00264,0.62070,0.00000,0.043,0.066,0
4.1920,0.62884,0.00021,-0.00261,0.62850,0.00000,0.043,0.066,0
4.2440,0.63663,0.00027,-0.00259,0.63630,0.00000,0.043,0.066,0
4.2960,0.64441,0.00034,-0.00256,0.64410,0.00000,0.042,0.066,0
4.3480,0.65220,0.00040,-0.00253,0.65190,0.00000,0.041,0.066,0
