t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00034,0.00012,-0.00001,0.00750,0.00000,-0.011,-0.007,0
0.1020,0.00126,0.00045,-0.00005,0.01500,0.00000,-0.034,-0.009,0
0.1520,0.00274,0.00098,-0.00010,0.02250,0.00000,-0.057,-0.001,0
0.2020,0.00472,0.00167,-0.00016,0.03000,0.00000,-0.076,0.008,0
0.2520,0.00719,0.00253,-0.00024,0.03750,0.00000,-0.091,0.017,0
0.3020,0.01009,0.00352,-0.00033,0.04500,0.00000,-0.103,0.025,0
0.3520,0.01341,0.00462,-0.00042,0.05250,0.00000,-0.113,0.031,0
0.4020,0.01710,0.00583,-0.00052,0.06000,0.00000,-0.120,0.037,0
0.4520,0.02113,0.00712,-0.00062,0.06750,0.00000,-0.125,0.043,0
0.5040,0.02566,0.00853,-0.00072,0.07530,0.00000,-0.127,0.048,0
0.5540,0.03030,0.00995,-0.00082,0.08280,0.00000,-0.128,0.052,0
0.6040,0.03521,0.01142,-0.00091,0.09030,0.00000,-0.126,0.055,0
0.6540,0.04036,0.01291,-0.00099,0.09780,0.00000,-0.123,0.059,0
0.7040,0.04573,0.01442,-0.00107,0.10530,0.00000,-0.118,0.061,0
0.7540,0.05129,0.01594,-0.00113,0.11280,0.00000,-0.111,0.064,0
0.8040,0.05703,0.01746,-0.00119,0.12030,0.00000,-0.103,0.066,0
0.8540,0.06294,0.01897,-0.00123,0.12780,0.00000,-0.094,0.068,0
0.9040,0.06899,0.02046,-0.00126,0.13530,0.00000,-0.083,0.069,0
0.9540,0.07517,0.02192,-0.00127,0.14280,0.00000,-0.070,0.070,0
1.0060,0.08174,0.02339,-0.00127,0.15060,0.00000,-0.056,0.071,0
1.0560,0.08817,0.02477,-0.00126,0.15810,0.00000,-0.041,0.072,0
1.1060,0.09469,0.02611,-0.00123,0.16560,0.00000,-0.026,0.072,0
1.1560,0.10132,0.02739,-0.00118,0.17310,0.00000,-0.009,0.072,0
1.2060,0.10803,0.02861,-0.00112,0.18060,0.00000,0.008,0.072,0
1.2560,0.11482,0.02978,-0.00104,0.18810,0.00000,0.026,0.072,0
1.3060,0.12169,0.03088,-0.00095,0.19560,0.00000,0.045,0.071,0
1.3560,0.12862,0.03192,-0.00084,0.20310,0.00000,0.065,0.070,0
1.4060,0.13563,0.03289,-0.00071,0.21060,0.00000,0.084,0.069,0
1.4560,0.14270,0.03380,-0.00058,0.21810,0.00000,0.105,0.068,0
1.5060,0.14982,0.03463,-0.00043,0.22560,0.00000,0.125,0.066,0
1.5560,0.15701,0.03540,-0.00026,0.23310,0.00000,0.146,0.065,0
1.6060,0.16426,0.03610,-0.00009,0.24060,0.00000,0.166,0.063,0
1.6560,0.17156,0.03674,0.00010,0.24810,0.00000,0.187,0.060,0
1.7060,0.17891,0.03730,0.00030,0.25560,0.00000,0.207,0.058,0
1.7560,0.18632,0.03780,0.00050,0.26310,0.00000,0.228,0.055,0
1.8060,0.19377,0.03823,0.00072,0.27060,0.00000,0.248,0.053,0
1.8560,0.20128,0.03860,0.00094,0.27810,0.00000,0.268,0.050,0
1.9060,0.20885,0.03890,0.00116,0.28560,0.00000,0.287,0.046,0
1.9560,0.21646,0.03915,0.00139,0.29310,0.00000,0.306,0.043,0
2.0080,0.22443,0.03934,0.00163,0.30090,0.00000,0.326,0.039,0
2.0600,0.23246,0.03947,0.00188,0.30870,0.00000,0.344,0.035,0
2.1120,0.24054,0.03954,0.00212,0.31650,0.00000,0.363,0.031,0
2.1640,0.24867,0.03955,0.00236,0.32430,0.00000,0.380,0.027,0
2.2160,0.25686,0.03950,0.00260,0.33210,0.00000,0.397,0.022,0
2.2680,0.26510,0.03941,0.00283,0.33990,0.00000,0.413,0.018,0
2.3200,0.27339,0.03926,0.00306,0.34770,0.00000,0.428,0.013,0
2.3720,0.28174,0.03907,0.00328,0.35550,0.00000,0.442,0.008,0
2.4240,0.29014,0.03884,0.00349,0.36330,0.00000,0.456,0.003,0
2.4760,0.29859,0.03856,0.00369,0.37110,0.00000,0.469,-0.002,0
2.5280,0.30708,0.03825,0.00388,0.37890,0.00000,0.481,-0.007,0
2.5800,0.31563,0.03791,0.00406,0.38670,0.00000,0.492,-0.012,0
2.6320,0.32422,0.03753,0.00422,0.39450,0.00000,0.502,-0.017,0
2.6840,0.33286,0.03712,0.00437,0.40230,0.00000,0.511,-0.022,0
2.7360,0.34154,0.03669,0.00450,0.41010,0.00000,0.520,-0.027,0
2.7880,0.35026,0.03623,0.00462,0.41790,0.00000,0.527,-0.032,0
2.8400,0.35902,0.03576,0.00472,0.42570,0.00000,0.534,-0.037,0
2.8920,0.36782,0.03527,0.00481,0.43350,0.00000,0.540,-0.042,0
2.9440,0.37666,0.03477,0.00487,0.44130,0.00000,0.545,-0.047,0
2.9960,0.38553,0.03426,0.00492,0.44910,0.00000,0.550,-0.052,0
3.0480,0.39443,0.03374,0.00495,0.45690,0.00000,0.553,-0.056,0
3.1000,0.40335,0.03321,0.00496,0.46470,0.00000,0.556,-0.060,0
3.1520,0.41230,0.03269,0.00495,0.47250,0.00000,0.559,-0.064,0
3.2040,0.42127,0.03216,0.00493,0.48030,0.00000,0.560,-0.068,0
3.2560,0.43026,0.03164,0.00488,0.48810,0.00000,0.561,-0.072,0
