t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00064,0.00012,0.00007,0.00750,0.00000,-0.003,-0.010,0
0.1020,0.00238,0.00032,0.00016,0.01500,0.00000,-0.022,-0.017,0
0.1520,0.00509,0.00048,0.00024,0.02250,0.00000,-0.048,-0.011,0
0.2020,0.00870,0.00061,0.00030,0.03000,0.00000,-0.066,-0.006,0
0.2520,0.01310,0.00072,0.00035,0.03750,0.00000,-0.079,-0.002,0
0.3020,0.01822,0.00081,0.00038,0.04500,0.00000,-0.088,0.002,0
0.3520,0.02397,0.00087,0.00039,0.05250,0.00000,-0.094,0.004,0
0.4020,0.03028,0.00091,0.00039,0.06000,0.00000,-0.097,0.007,0
0.4520,0.03708,0.00094,0.00038,0.06750,0.00000,-0.097,0.008,0
0.5040,0.04460,0.00095,0.00035,0.07530,0.00000,-0.096,0.010,0
0.5540,0.05220,0.00094,0.00032,0.08280,0.00000,-0.094,0.011,0
0.6040,0.06010,0.00093,0.00028,0.09030,0.00000,-0.091,0.011,0
0.6540,0.06826,0.00090,0.00023,0.09780,0.00000,-0.087,0.011,0
0.7040,0.07664,0.00086,0.00017,0.10530,0.00000,-0.083,0.011,0
0.7540,0.08519,0.00082,0.00011,0.11280,0.00000,-0.078,0.011,0
0.8040,0.09387,0.00077,0.00004,0.12030,0.00000,-0.074,0.011,0
0.8540,0.10266,0.00071,-0.00003,0.12780,0.00000,-0.069,0.010,0
0.9040,0.11153,0.00065,-0.00010,0.13530,0.00000,-0.065,0.010,0
0.9540,0.12044,0.00059,-0.00018,0.14280,0.00000,-0.061,0.009,0
1.0060,0.12974,0.00052,-0.00026,0.15060,0.00000,-0.056,0.009,0
1.0560,0.13869,0.00046,-0.00033,0.15810,0.00000,-0.053,0.008,0
1.1060,0.14764,0.00039,-0.00041,0.16560,0.00000,-0.049,0.007,0
1.1560,0.15656,0.00032,-0.00049,0.17310,0.00000,-0.046,0.007,0
1.2060,0.16545,0.00025,-0.00057,0.18060,0.00000,-0.043,0.006,0
1.2560,0.17429,0.00019,-0.00065,0.18810,0.00000,-0.040,0.005,0
1.3060,0.18309,0.00012,-0.00073,0.19560,0.00000,-0.038,0.005,0
1.3560,0.19183,0.00006,-0.00080,0.20310,0.00000,-0.036,0.004,0
1.4060,0.20051,-0.00000,-0.00088,0.21060,0.00000,-0.034,0.004,0
1.4560,0.20912,-0.00006,-0.00095,0.21810,0.00000,-0.033,0.003,0
1.5060,0.21767,-0.00012,-0.00102,0.22560,0.00000,-0.031,0.003,0
1.5560,0.22615,-0.00017,-0.00109,0.23310,0.00000,-0.030,0.002,0
1.6060,0.23456,-0.00023,-0.00116,0.24060,0.00000,-0.029,0.002,0
1.6560,0.24290,-0.00028,-0.00122,0.24810,0.00000,-0.029,0.001,0
1.7060,0.25118,-0.00033,-0.00129,0.25560,0.00000,-0.028,0.001,0
1.7560,0.25939,-0.00037,-0.00135,0.26310,0.00000,-0.028,0.001,0
1.8060,0.26754,-0.00041,-0.00141,0.27060,0.00000,-0.027,0.000,0
1.8560,0.27564,-0.00045,-0.00146,0.27810,0.00000,-0.027,0.000,0
1.9060,0.28367,-0.00049,-0.00151,0.28560,0.00000,-0.027,0.000,0
1.9560,0.29165,-0.00052,-0.00156,0.29310,0.00000,-0.027,-0.000,0
2.0080,0.29989,-0.00056,-0.00161,0.30090,0.00000,-0.027,-0.000,0
2.0600,0.30808,-0.00059,-0.00166,0.30870,0.00000,-0.027,-0.000,0
2.1120,0.31622,-0.00062,-0.00170,0.31650,0.00000,-0.028,-0.001,0
2.1640,0.32432,-0.00064,-0.00175,0.32430,0.00000,-0.028,-0.001,0
2.2160,0.33237,-0.00067,-0.00178,0.33210,0.00000,-0.028,-0.001,0
2.2680,0.34039,-0.00069,-0.00182,0.33990,0.00000,-0.029,-0.001,0
2.3200,0.34837,-0.00071,-0.00186,0.34770,0.00000,-0.029,-0.001,0
2.3720,0.35632,-0.00072,-0.00189,0.35550,0.00000,-0.029,-0.001,0
2.4240,0.36424,-0.00074,-0.00192,0.36330,0.00000,-0.030,-0.001,0
2.4760,0.37213,-0.00075,-0.00194,0.37110,0.00000,-0.030,-0.001,0
2.5280,0.38001,-0.00076,-0.00197,0.37890,0.00000,-0.030,-0.001,0
2.5800,0.38786,-0.00077,-0.00199,0.38670,0.00000,-0.031,-0.001,0
2.6320,0.39570,-0.00078,-0.00201,0.39450,0.00000,-0.031,-0.001,0
2.6840,0.40352,-0.00079,-0.00203,0.40230,0.00000,-0.032,-0.001,0
2.7360,0.41132,-0.00080,-0.00205,0.41010,0.00000,-0.032,-0.001,0
2.7880,0.41912,-0.00080,-0.00207,0.41790,0.00000,-0.032,-0.001,0
2.8400,0.42690,-0.00080,-0.00208,0.42570,0.00000,-0.032,-0.001,0
2.8920,0.43468,-0.00081,-0.00209,0.43350,0.00000,-0.033,-0.001,0
2.9440,0.44245,-0.00081,-0.00211,0.44130,0.00000,-0.033,-0.001,0
2.9960,0.45022,-0.00081,-0.00212,0.44910,0.00000,-0.033,-0.001,0
3.0480,0.45798,-0.00081,-0.00212,0.45690,0.00000,-0.033,-0.001,0
