t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00068,-0.00005,0.00006,0.00750,0.00000,0.012,-0.009,0
0.1020,0.00246,-0.00015,0.00014,0.01500,0.00000,0.034,-0.015,0
0.1520,0.00521,-0.00025,0.00021,0.02250,0.00000,0.051,-0.010,0
0.2020,0.00883,-0.00035,0.00026,0.03000,0.00000,0.064,-0.005,0
0.2520,0.01324,-0.00045,0.00030,0.03750,0.00000,0.074,-0.002,0
0.3020,0.01835,-0.00053,0.00033,0.04500,0.00000,0.082,0.001,0
0.3520,0.02410,-0.00061,0.00034,0.05250,0.00000,0.088,0.004,0
0.4020,0.03039,-0.00068,0.00035,0.06000,0.00000,0.091,0.006,0
0.4520,0.03717,-0.00074,0.00034,0.06750,0.00000,0.093,0.007,0
0.5040,0.04467,-0.00079,0.00032,0.07530,0.00000,0.093,0.009,0
0.5540,0.05224,-0.00083,0.00030,0.08280,0.00000,0.092,0.010,0
0.6040,0.06013,-0.00086,0.00027,0.09030,0.00000,0.090,0.010,0
0.6540,0.06827,-0.00088,0.00023,0.09780,0.00000,0.087,0.011,0
0.7040,0.07662,-0.00089,0.00019,0.10530,0.00000,0.083,0.011,0
0.7540,0.08515,-0.00088,0.00014,0.11280,0.00000,0.079,0.011,0
0.8040,0.09381,-0.00087,0.00009,0.12030,0.00000,0.074,0.010,0
0.8540,0.10258,-0.00085,0.00003,0.12780,0.00000,0.070,0.010,0
0.9040,0.11142,-0.00082,-0.00002,0.13530,0.00000,0.065,0.009,0
0.9540,0.12031,-0.00078,-0.00009,0.14280,0.00000,0.060,0.008,0
1.0060,0.12959,-0.00074,-0.00015,0.15060,0.00000,0.055,0.007,0
1.0560,0.13853,-0.00069,-0.00022,0.15810,0.00000,0.051,0.007,0
1.1060,0.14745,-0.00062,-0.00029,0.16560,0.00000,0.047,0.006,0
1.1560,0.15635,-0.00056,-0.00036,0.17310,0.00000,0.043,0.005,0
1.2060,0.16523,-0.00050,-0.00043,0.18060,0.00000,0.039,0.003,0
1.2560,0.17406,-0.00043,-0.00050,0.18810,0.00000,0.036,0.002,0
1.3060,0.18284,-0.00036,-0.00058,0.19560,0.00000,0.033,0.001,0
1.3560,0.19156,-0.00028,-0.00065,0.20310,0.00000,0.031,0.000,0
1.4060,0.20022,-0.00020,-0.00073,0.21060,0.00000,0.029,-0.001,0
1.4560,0.20882,-0.00011,-0.00080,0.21810,0.00000,0.027,-0.003,0
1.5060,0.21735,-0.00004,-0.00087,0.22560,0.00000,0.025,-0.004,0
1.5560,0.22580,0.00006,-0.00095,0.23310,0.00000,0.023,-0.005,0
1.6060,0.23419,0.00014,-0.00102,0.24060,0.00000,0.022,-0.007,0
1.6560,0.24252,0.00023,-0.00110,0.24810,0.00000,0.021,-0.008,0
1.7060,0.25078,0.00032,-0.00117,0.25560,0.00000,0.020,-0.010,0
1.7560,0.25896,0.00041,-0.00125,0.26310,0.00000,0.019,-0.011,0
1.8060,0.26709,0.00049,-0.00132,0.27060,0.00000,0.018,-0.013,0
1.8560,0.27516,0.00057,-0.00139,0.27810,0.00000,0.017,-0.014,0
1.9060,0.28317,0.00065,-0.00146,0.28560,0.00000,0.017,-0.016,0
1.9560,0.29113,0.00071,-0.00153,0.29310,0.00000,0.016,-0.018,0
2.0080,0.29935,0.00078,-0.00161,0.30090,0.00000,0.016,-0.019,0
2.0600,0.30752,0.00086,-0.00168,0.30870,0.00000,0.015,-0.021,0
2.1120,0.31563,0.00093,-0.00175,0.31650,0.00000,0.015,-0.023,0
2.1640,0.32370,0.00100,-0.00182,0.32430,0.00000,0.014,-0.025,0
2.2160,0.33173,0.00106,-0.00188,0.33210,0.00000,0.014,-0.027,0
2.2680,0.33971,0.00113,-0.00195,0.33990,0.00000,0.013,-0.029,0
2.3200,0.34766,0.00119,-0.00201,0.34770,0.00000,0.012,-0.032,0
2.3720,0.35559,0.00123,-0.00208,0.35550,0.00000,0.012,-0.035,0
2.4240,0.36348,0.00127,-0.00214,0.36330,0.00000,0.011,-0.037,0
2.4760,0.37136,0.00130,-0.00220,0.37110,0.00000,0.010,-0.040,0
2.5280,0.37921,0.00133,-0.00225,0.37890,0.00000,0.010,-0.042,0
2.5800,0.38705,0.00135,-0.00231,0.38670,0.00000,0.009,-0.045,0
2.6320,0.39486,0.00137,-0.00236,0.39450,0.00000,0.008,-0.048,0
2.6840,0.40266,0.00139,-0.00241,0.40230,0.00000,0.007,-0.051,0
2.7360,0.41045,0.00140,-0.00246,0.41010,0.00000,0.007,-0.054,0
2.7880,0.41822,0.00140,-0.00250,0.41790,0.00000,0.006,-0.057,0
2.8400,0.42600,0.00140,-0.00254,0.42570,0.00000,0.005,-0.060,0
2.8920,0.43376,0.00139,-0.00258,0.43350,0.00000,0.004,-0.064,0
